"Overview Product Code
PC Code","Unit
?","Overview of
Items","
HS Code"
0,,"FOOD AND LIVE
ANIMALS","01, 0201~0208, 0210, 03~04, 07~10, 1101~1107, 1210, 1212.21, 1212.91~1212.99, 1213~1214, 1517, 16~21, 2209 , 23 , 2404.91"
1,NO,"
LIVE ANIMALS",1
101,NO,"?Chicken
FOWLS","0105.11, 0105.94"
103,NO,"?HORSES
?",0101.21?0101.29
3,MT,"
Meat and meat preparations","0201?0208, 0210, 1601.00-9, 1602.10-9?1602.90-1, 1602.90-21, 1602.90-29?1603.00-01"
301,MT,"
MEAT OF BOVINE ?ANIMALS",0201?0202
303,MT,"?MEAT OF SHEEP
, LAMB, GOATS",204
305,MT,"?MEAT OF SWINE
, WILD BOARS",203
30501,MT,"?(Pork)
MEAT OF SWINE","0203.11-02~-04, 0203.12-02, 0203.19-02, 0203.21-02~-04, 0203.22-02, 0203.29-02"
307,MT,"?MEAT
OF FOWLS","0207.11?0207.13, 0207.14-2"
309,KG,"?MEAT
OF HORSES",205
5,MT,"DAIRY PRODUCTS AND
EGGS",0401?0408
501,MT,"
Milk ?and cream",0401?0404
50101,MT,"?(
Powdered Milk)","0402.10-2 , 0402.21-2 , 0402.29-2"
503,MT,"?Butter
?",405
505,MT,"
Cheese ?and Curd",406
7,MT,"
FISH AND FISH PREPARATION","03, 1604?1605"
701,KG,"?SeafoodFISH
?",3
70101,KG,"?(Tuna)
ALBACORE AND TUNA","0302.31~0302.32, 0302.34~0302.39, 0303.41~0303.42, 0303.44~0303.49, 0304.49-21~-22, 0304.59-291~-292, 0304.87-02?-06, 0304.99-991, 0304.99-994"
70103,KG,"?(Salmon)
SALMON","0302.11~0302.19, 0303.11~0303.19, 0304.41~0304.42, 0304.52, 0304.81~0304.82, 0304.89-22"
70105,KG,"?(Sawara)
SPANISH MACKEREL","0302.49-21, 0303.59-91"
70107,KG,"
( HARD ?ROES OF NISHIN)","0302.91-01 , 0303.91-01 , 0305.20-01 , 0305.20-04"
701071,KG,"???Kazunoko?
HARD ROES OF NISHIN",0305.20-01
70109,KG,"
FRY FOR ?EELS",0301.92-1
70111,KG,"?(Eel)
EELS","0301.92-2, 0302.74, 0303.26"
70113,KG,"?(Crustacea and Molluscs)
CRUSTACEA AND MOLLUSCS","0306?0308, 0309.90"
701131,KG,"??Shrimp
?","0306.11~0306.12, 0306.15~0306.17, 0306.19-1, 0306.31~0306.32, 0306.34~0306.36, 0306.39-1, 0309.90-11"
701133,KG,"??CRABS
?","0306.14, 0306.33, 0306.93"
701134,KG,"???Squid?
CUTTLE FISH",0307.42?0307.49
701135,KG,"??OCTOPUS
?",0307.51?0307.59
701136,KG,"
SEA ??URCHINS","0308.21?0308.29, 0308.90-211, 0308.90-291, 0308.90-411"
70115,KG,"?(herring)
HERRINGS","0302.41 , 0303.51 , 0303.89-11 , 0303.99-911 , 0304.49-1 , 0304.59-1 , 0304.86 , 0304.89-1 , 0304.99-11"
703,MT,"
FISH ?PREPARATION",1604-1605
9,MT,"CEREALS
, CEREAL PREPARATION","10, 1101~1104, 1107, 1901.20, 1901.90-14~-17, 1901.90-23~-26, 1901.90-5, 1902, 1904, 1905.10~1905.40, 1905.90-1~-200, 1905.90-311~-313, 1905.90-319~-322, 1905.90-329"
901,MT,"?WHEAT AND
MESLIN",1001
903,MT,"?RICE
?",1006
905,MT,"
Barley, ?unmilled",1003
907,MT,"?Corn
MAIZE, UNMILLED",1005
90701,MT,"?(Corn (for animal feed))
MAIZE FOR FEEDING PURPOSE",1005.90-01
909,MT,"?Millet, millet and barnyard millet
<AWA>,<KIBI> AND <HIE>",1008.21?1008.29
911,MT,"
KAO-LIANG FOR ?FEEDING",1007.90-01
915,MT,"?Malt
MALTS",1107
11,KG,"
Fruits and vegetables","07-08, 1105-1106, 1210, 1212.21, 1212.91-1212.99, 1903, 1905.90-314, 1905.90-323, 2001-2007, 2008.11~2008.97 , 2008.99-1 , 2008.99-211~-216 , 2008.99-219~-232 , 2008.99-234 , 2008.99-236 , 2008.99-25 , 2009"
